Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,07052021,1193319712,0001921
Trade Date <07-MAY-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,110032,58492,53.16
20,2,21STCENMGM,EQ,3823,3823,100.00
20,3,3IINFOTECH,EQ,13579285,9457249,69.64
20,4,3MINDIA,EQ,1296,651,50.23
20,5,3PLAND,EQ,234593,102920,43.87
20,6,5PAISA,EQ,166658,81103,48.66
20,7,68GS2060,GS,20,20,100.00
20,8,A2ZINFRA,EQ,1097816,829537,75.56
20,9,AAKASH,EQ,43036,11105,25.80
20,10,AARON,EQ,5458,3288,60.24
20,11,AARTIDRUGS,EQ,2058929,367640,17.86
20,12,AARTIIND,EQ,1392673,437037,31.38
20,13,AARTISURF,EQ,47802,32741,68.49
20,14,AARVI,EQ,6607,4110,62.21
20,15,AAVAS,EQ,43152,31154,72.20
20,16,ABAN,EQ,402629,205083,50.94
20,17,ABB,EQ,160890,131892,81.98
20,18,ABBOTINDIA,EQ,17276,9701,56.15
20,19,ABCAPITAL,EQ,1877462,612269,32.61
20,20,ABFRL,EQ,706959,270337,38.24
20,21,ABFRLPP1,E1,1761,1675,95.12
20,22,ABMINTLTD,EQ,4672,2650,56.72
20,23,ABSLBANETF,EQ,121,81,66.94
20,24,ABSLNN50ET,EQ,8,5,62.50
20,25,ABSLRIF6RG,MF,1001,1001,100.00
20,26,ACC,EQ,641334,138073,21.53
20,27,ACCELYA,EQ,6562,3101,47.26
20,28,ACCURACY,EQ,4570,2902,63.50
20,29,ACE,EQ,151127,93627,61.95
20,30,ACRYSIL,EQ,112502,87660,77.92
20,31,ADANIENT,EQ,4584524,499890,10.90
20,32,ADANIGREEN,EQ,784571,382870,48.80
20,33,ADANIPORTS,EQ,20782117,3088070,14.86
20,34,ADANIPOWER,EQ,12929540,5167861,39.97
20,35,ADANITRANS,EQ,1461933,600106,41.05
20,36,ADFFOODS,EQ,18846,10638,56.45
20,37,ADHUNIKIND,EQ,80578,44109,54.74
20,38,ADORWELD,EQ,18295,10461,57.18
20,39,ADROITINFO,EQ,1827,1817,99.45
20,40,ADSL,EQ,983859,449063,45.64
20,41,ADVANIHOTR,EQ,15781,9381,59.44
20,42,ADVENZYMES,EQ,420482,115438,27.45
20,43,AEGISCHEM,EQ,720302,418593,58.11
20,44,AFFLE,EQ,47392,20412,43.07
20,45,AGARIND,EQ,69812,50993,73.04
20,46,AGCNET,EQ,17448,14135,81.01
20,47,AGRITECH,EQ,14191,11186,78.82
20,48,AGROPHOS,EQ,113307,27379,24.16
20,49,AHLADA,EQ,1542,1250,81.06
20,50,AHLEAST,EQ,1462,1064,72.78
20,51,AHLUCONT,EQ,13896,8947,64.39
20,52,AHLWEST,EQ,1768,989,55.94
20,53,AIAENG,EQ,26022,12697,48.79
20,54,AIRAN,EQ,24524,13300,54.23
20,55,AISL,SM,24000,1200,5.00
20,56,AJANTPHARM,EQ,244450,105828,43.29
20,57,AJMERA,EQ,347001,79749,22.98
20,58,AJOONI,EQ,98984,57663,58.25
20,59,AKASH,EQ,56113,29831,53.16
20,60,AKG,EQ,9532,6520,68.40
20,61,AKSHARCHEM,EQ,8653,5039,58.23
20,62,AKSHOPTFBR,EQ,270272,156954,58.07
20,63,AKZOINDIA,EQ,4557,2124,46.61
20,64,ALANKIT,EQ,135669,100805,74.30
20,65,ALBERTDAVD,EQ,28407,13439,47.31
20,66,ALEMBICLTD,EQ,2761455,560015,20.28
20,67,ALICON,EQ,15965,10090,63.20
20,68,ALKALI,EQ,18987,14527,76.51
20,69,ALKEM,EQ,455814,166061,36.43
20,70,ALKYLAMINE,EQ,67023,24207,36.12
20,71,ALLCARGO,EQ,256602,197804,77.09
20,72,ALLSEC,EQ,12085,6423,53.15
20,73,ALMONDZ,EQ,1636,1363,83.31
20,74,ALOKINDS,EQ,8722002,3394234,38.92
20,75,ALPHAGEO,EQ,17896,13000,72.64
20,76,ALPSINDUS,EQ,9951,9951,100.00
20,77,AMARAJABAT,EQ,778514,268860,34.54
20,78,AMBANIORG,SM,4000,4000,100.00
20,79,AMBER,EQ,40334,27820,68.97
20,80,AMBICAAGAR,EQ,435733,205987,47.27
20,81,AMBIKCO,EQ,63128,34569,54.76
20,82,AMBUJACEM,EQ,3399984,923943,27.17
20,83,AMDIND,EQ,19144,9152,47.81
20,84,AMJLAND,EQ,15367,12414,80.78
20,85,AMRUTANJAN,EQ,26794,11294,42.15
20,86,ANANTRAJ,EQ,191422,134151,70.08
20,87,ANDHRACEMT,EQ,893567,533854,59.74
20,88,ANDHRAPAP,EQ,25846,12238,47.35
20,89,ANDHRSUGAR,EQ,285846,110985,38.83
20,90,ANGELBRKG,EQ,3776478,695625,18.42
20,91,ANIKINDS,EQ,904764,471019,52.06
20,92,ANKITMETAL,EQ,206302,181832,88.14
20,93,ANSALAPI,EQ,191458,108800,56.83
20,94,ANSALHSG,EQ,58853,44655,75.88
20,95,ANUP,EQ,46258,30800,66.58
20,96,ANURAS,EQ,580306,225814,38.91
20,97,APARINDS,EQ,41810,24774,59.25
20,98,APCL,EQ,23626,13451,56.93
20,99,APCOTEXIND,EQ,1841605,519805,28.23
20,100,APEX,EQ,251522,103205,41.03
20,101,APLAPOLLO,EQ,350596,272235,77.65
20,102,APLLTD,EQ,513513,221746,43.18
20,103,APOLLO,EQ,79526,45454,57.16
20,104,APOLLOHOSP,EQ,774478,195136,25.20
20,105,APOLLOPIPE,EQ,111308,90055,80.91
20,106,APOLLOTYRE,EQ,8931992,1276702,14.29
20,107,APOLSINHOT,EQ,1142,449,39.32
20,108,APTECHT,EQ,123453,49787,40.33
20,109,ARCHIDPLY,EQ,17266,9072,52.54
20,110,ARCHIES,EQ,83564,66273,79.31
20,111,ARENTERP,EQ,134,131,97.76
20,112,ARIES,EQ,330167,117939,35.72
20,113,ARIHANT,EQ,4946,3152,63.73
20,114,ARMANFIN,EQ,5798,3992,68.85
20,115,AROGRANITE,EQ,36358,21547,59.26
20,116,ARROWGREEN,EQ,13796,12924,93.68
20,117,ARSHIYA,EQ,51689,31398,60.74
20,118,ARSSINFRA,EQ,8557,5122,59.86
20,119,ARTEMISMED,EQ,34448,23324,67.71
20,120,ARVIND,EQ,1118424,547168,48.92
20,121,ARVINDFASN,EQ,147911,68248,46.14
20,122,ARVSMART,EQ,112548,44180,39.25
20,123,ASAHIINDIA,EQ,32373,18947,58.53
20,124,ASAHISONG,EQ,18440,10876,58.98
20,125,ASAL,EQ,14199,12377,87.17
20,126,ASALCBR,EQ,39493,28327,71.73
20,127,ASHAPURMIN,EQ,200701,100370,50.01
20,128,ASHIANA,EQ,144328,111247,77.08
20,129,ASHIMASYN,EQ,357828,310668,86.82
20,130,ASHOKA,EQ,1719489,815532,47.43
20,131,ASHOKLEY,EQ,10778597,2434007,22.58
20,132,ASIANHOTNR,EQ,930,475,51.08
20,133,ASIANPAINT,EQ,1416102,679323,47.97
20,134,ASIANTILES,EQ,152724,104234,68.25
20,135,ASPINWALL,EQ,1291,844,65.38
20,136,ASTEC,EQ,24264,10541,43.44
20,137,ASTERDM,EQ,687714,372414,54.15
20,138,ASTRAL,EQ,116228,69017,59.38
20,139,ASTRAMICRO,EQ,477258,185881,38.95
20,140,ASTRAZEN,EQ,35540,14444,40.64
20,141,ASTRON,EQ,52542,30248,57.57
20,142,ATFL,EQ,69721,15827,22.70
20,143,ATGL,EQ,1032592,475163,46.02
20,144,ATLANTA,EQ,16730,13484,80.60
20,145,ATUL,EQ,27297,15435,56.54
20,146,ATULAUTO,EQ,92119,68826,74.71
20,147,AUBANK,EQ,1811962,490664,27.08
20,148,AURIONPRO,EQ,478047,203402,42.55
20,149,AUROPHARMA,EQ,2295907,404563,17.62
20,150,AUSOMENT,EQ,15456,7651,49.50
20,151,AUTOAXLES,EQ,14904,9351,62.74
20,152,AUTOIND,EQ,14404,8459,58.73
20,153,AVADHSUGAR,EQ,239769,92817,38.71
20,154,AVANTIFEED,EQ,256863,122770,47.80
20,155,AVG,SM,2400,2400,100.00
20,156,AVTNPL,EQ,851825,401999,47.19
20,157,AWHCL,EQ,87167,36902,42.33
20,158,AXISBANK,EQ,7131970,1586004,22.24
20,159,AXISBNKETF,EQ,479,316,65.97
20,160,AXISCADES,EQ,71659,36117,50.40
20,161,AXISGOLD,EQ,152720,122403,80.15
20,162,AXISNIFTY,EQ,2972,1924,64.74
20,163,AXISTECETF,EQ,316,251,79.43
20,164,AYMSYNTEX,EQ,10478,9133,87.16
20,165,BAFNAPH,EQ,90381,38051,42.10
20,166,BAJAJ-AUTO,EQ,486456,137164,28.20
20,167,BAJAJCON,EQ,948303,491869,51.87
20,168,BAJAJELEC,EQ,71059,52513,73.90
20,169,BAJAJFINSV,EQ,343443,62319,18.15
20,170,BAJAJHIND,EQ,40813106,22593320,55.36
20,171,BAJAJHLDNG,EQ,35605,19671,55.25
20,172,BAJFINANCE,EQ,1851033,179854,9.72
20,173,BALAJITELE,EQ,153920,62669,40.72
20,174,BALAMINES,EQ,116929,49298,42.16
20,175,BALAXI,EQ,1275,888,69.65
20,176,BALKRISHNA,EQ,16383,13674,83.46
20,177,BALKRISIND,EQ,263747,75625,28.67
20,178,BALMLAWRIE,EQ,345507,164829,47.71
20,179,BALRAMCHIN,EQ,3137920,1236973,39.42
20,180,BANARBEADS,EQ,29314,8981,30.64
20,181,BANARISUG,EQ,6575,2437,37.06
20,182,BANCOINDIA,EQ,89697,51245,57.13
20,183,BANDHANBNK,EQ,21065285,4608964,21.88
20,184,BANG,EQ,4798,4504,93.87
20,185,BANKA,EQ,2545,1668,65.54
20,186,BANKBARODA,EQ,26413730,3987884,15.10
20,187,BANKBEES,EQ,630961,176556,27.98
20,188,BANKINDIA,EQ,3171817,1133113,35.72
